,year,drysoildays_summer_whole,evap_summer,nondryswa_summer_whole,ppt_summer,tmax_summer,vwc_summer_whole
0,1980,7.856000000000001,2.8765261780104714,0.27186910994764396,3.99282722513089,36.821591623036646,0.0673715071724429
1,1981,6.880704545454546,4.098247159090909,0.2132443181818182,9.247073863636363,37.152125000000005,0.06623620647941497
2,1982,7.1393910447761195,3.789916417910448,0.29827164179104476,9.448208955223881,36.5453671641791,0.07042250695026513
3,1983,6.439958005249345,4.049732283464567,0.311254593175853,10.045459317585303,34.954062992125984,0.07087810009705253
4,1984,6.791978723404256,4.043962765957446,0.24620478723404254,9.134468085106382,35.49401063829787,0.06809806039315698
5,1985,7.146690058479533,3.0059239766081873,0.2755233918128655,5.723157894736842,37.113883040935676,0.06843222706147489
6,1986,7.015952095808383,3.851928143712575,0.26440119760479036,9.58497005988024,35.409125748502994,0.06904424166979142
7,1987,6.688150134048258,3.763123324396783,0.34925201072386053,10.671528150134048,34.729217158176944,0.07339654605711118
8,1988,7.156493438320211,3.831992125984252,0.24368503937007874,8.564304461942257,35.7569501312336,0.06756639218170003
9,1989,7.207255255255255,3.40118018018018,0.2357327327327327,7.2208108108108116,37.56095495495496,0.06728559918626406
10,1990,9.056162318840581,3.3497014492753623,0.19927826086956518,6.210376811594203,36.870718840579705,0.06565516302611517
11,1991,7.428663212435233,3.6614093264248706,0.22938860103626943,7.096891191709845,34.99442487046632,0.0668543291363992
12,1992,7.146317548746519,3.5983593314763236,0.26659331476323117,6.6209749303621175,34.89135933147632,0.06832474517309997
13,1993,7.466400000000001,3.1639,0.28825757575757577,6.606757575757576,35.28590303030303,0.0680316704477235
14,1994,8.151739130434782,3.0386820652173916,0.20788858695652174,4.194211956521739,36.88926086956521,0.06500464062259212
15,1995,7.143914209115282,3.7563512064343167,0.26913404825737264,7.39603217158177,36.89356032171582,0.06850563255573187
16,1996,9.687811209439529,3.4320560471976402,0.19590560471976398,5.955634218289085,36.12093805309734,0.06523538060384272
17,1997,6.509753581661891,3.57656446991404,0.3530458452722063,8.722779369627506,35.69197134670487,0.07283278116467602
18,1998,7.269066666666667,3.4111282051282057,0.2481974358974359,6.643666666666667,36.81191794871795,0.06776179712188517
19,1999,6.300088397790056,4.3442734806629835,0.3780883977900552,13.09621546961326,34.791292817679555,0.07529207663479781
20,2000,8.288792569659444,3.3634055727554184,0.1945015479876161,5.915727554179567,36.630643962848296,0.06530489546794226
21,2001,6.644730434782609,3.703371014492754,0.26084637681159417,8.294898550724639,36.113327536231886,0.0681666197318931
22,2002,9.40717391304348,3.1144076086956525,0.20703804347826085,4.496847826086957,36.81045652173913,0.06453078748511488
23,2003,7.487442424242425,3.3961878787878788,0.22076363636363633,6.551181818181818,37.388024242424244,0.06648883347267452
24,2004,8.287345029239766,3.001555555555556,0.2125818713450292,4.280497076023392,35.51359064327486,0.06554341978949153
25,2005,6.622181818181819,3.627085227272728,0.30596022727272726,8.20599431818182,37.602124999999994,0.06957863004253247
26,2006,7.425725067385445,3.7008301886792454,0.22419137466307276,7.716873315363881,36.66764959568733,0.06657741512626265
27,2007,7.296,3.5737872340425536,0.2351823708206687,7.8180243161094225,36.20789665653495,0.06725408410362463
28,2008,6.973101123595505,3.4509044943820224,0.2576938202247191,7.233202247191011,35.488617977528094,0.06849274635875452
29,2009,7.811098265895954,2.9778757225433528,0.20699421965317916,4.255982658959537,36.229907514450865,0.06529058582096843
30,2010,6.56974011299435,3.7502344632768363,0.3800706214689265,9.82358757062147,37.22471186440678,0.07497933877618448
31,2011,7.530965732087227,3.615411214953271,0.20664174454828657,6.448037383177571,35.940803738317754,0.0658877823734508
32,2012,7.607080213903744,3.2940320855614975,0.24854010695187165,7.16620320855615,35.82900534759358,0.0680273971759007
33,2013,7.828479108635097,3.329938718662953,0.26487465181058495,8.211448467966573,37.786902506963784,0.06873057977045421
34,2014,7.047036414565826,3.465406162464986,0.2601736694677871,7.403305322128851,35.95377591036414,0.06834358770348264
35,2015,5.914969325153375,4.147558282208589,0.32879447852760735,11.490276073619631,36.254441717791416,0.07253104418329609
36,2016,7.012367567567567,3.527348648648649,0.26135945945945943,7.563648648648649,37.339589189189184,0.06851635427983448
37,2017,7.066621468926554,3.3639717514124294,0.2248954802259887,6.995056497175141,37.062,0.06661184925862461
38,2018,9.18838418079096,3.0134435028248587,0.2044322033898305,5.607824858757063,35.84702824858757,0.06539685464371787
39,2021,7.324665375511083,3.4673851230184347,0.28046990890180046,7.452040743131771,36.93407216125098,0.06890382917645518
40,2022,7.422854609168276,3.3916122434384612,0.26959865551026246,7.103251090610026,37.53038618322248,0.0684246982431617
41,2023,7.213109041409944,3.535081028800688,0.3174131680756555,8.170848259062902,37.195998710416966,0.07078987928135975
42,2024,7.486505747126437,3.3101428879310344,0.2988566091954023,6.994,37.584330459770115,0.06960376877963793
